Algoritmo;Vetor;Tempo
mergesort; d100.txt; 0.000000
quick_sort; d100.txt; 0.000000
mergesort; d1000.txt; 1.000000
quick_sort; d1000.txt; 0.000000
mergesort; d10000.txt; 2.000000
quick_sort; d10000.txt; 3.000000
mergesort; d100000.txt; 15.000000
quick_sort; d100000.txt; 31.000000
mergesort; d1000000.txt; 99.000000
quick_sort; d1000000.txt; 1128.000000
mergesort; d1250000.txt; 176.000000
quick_sort; d1250000.txt; 1922.000000
mergesort; d15000.txt; 3.000000
quick_sort; d15000.txt; 2.000000
mergesort; d1500000.txt; 148.000000
quick_sort; d1500000.txt; 2286.000000
mergesort; d200.txt; 0.000000
quick_sort; d200.txt; 0.000000
mergesort; d2000.txt; 0.000000
quick_sort; d2000.txt; 0.000000
mergesort; d200000.txt; 24.000000
quick_sort; d200000.txt; 55.000000
mergesort; d2000000.txt; 226.000000
quick_sort; d2000000.txt; 4012.000000
mergesort; d30000.txt; 4.000000
quick_sort; d30000.txt; 5.000000
mergesort; d500.txt; 0.000000
quick_sort; d500.txt; 0.000000
mergesort; d5000.txt; 0.000000
quick_sort; d5000.txt; 1.000000
mergesort; d50000.txt; 6.000000
quick_sort; d50000.txt; 10.000000
mergesort; d500000.txt; 79.000000
quick_sort; d500000.txt; 304.000000
mergesort; d7500.txt; 1.000000
quick_sort; d7500.txt; 1.000000
mergesort; d75000.txt; 9.000000
quick_sort; d75000.txt; 15.000000
mergesort; d750000.txt; 84.000000
quick_sort; d750000.txt; 615.000000
